public_path,disk_path,source_raster,target_width,original_bytes,candidate_bytes,saved_bytes,saved_pct,action,error
/images/burleigh-motel-mural-full-facade-gold-coast-highway-miami-1280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-full-facade-gold-coast-highway-miami-1280w.webp,images/motel/exterior/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,1280,26238,65334,-39096,-149.01,kept_original,
/images/burleigh-motel-mural-full-facade-gold-coast-highway-miami-1920w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-full-facade-gold-coast-highway-miami-1920w.webp,images/motel/exterior/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,1920,42386,65334,-22948,-54.14,kept_original,
/images/burleigh-motel-mural-full-facade-gold-coast-highway-miami-640w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-full-facade-gold-coast-highway-miami-640w.webp,images/motel/exterior/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,640,12902,65334,-52432,-406.39,kept_original,
/images/burleigh-motel-mural-full-facade-gold-coast-highway-miami-960w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-full-facade-gold-coast-highway-miami-960w.webp,images/motel/exterior/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,960,19662,65334,-45672,-232.29,kept_original,
/images/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,images/motel/exterior/burleigh-motel-mural-full-facade-gold-coast-highway-miami.webp,1400,65334,65334,0,0.00,kept_original,
/images/burleigh-motel-mural-palm-trees-gold-coast-highway-miami.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-palm-trees-gold-coast-highway-miami.webp,images/motel/exterior/burleigh-motel-mural-palm-trees-gold-coast-highway-miami.webp,1400,61776,61776,0,0.00,kept_original,
/images/burleigh-motel-mural-parking-entrance-gold-coast.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\burleigh-motel-mural-parking-entrance-gold-coast.webp,images/motel/exterior/burleigh-motel-mural-parking-entrance-gold-coast.webp,1400,49532,49532,0,0.00,kept_original,
/images/couple-cycling-burleigh-headland-ocean-path-nearby-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-cycling-burleigh-headland-ocean-path-nearby-gold-coast-motel.webp,images/local/burleigh/couple-cycling-burleigh-headland-ocean-path-nearby-burleigh-gold-coast-motel.webp,1200,140186,140186,0,0.00,kept_original,
/images/couple-mick-schamburg-lookout-deck-sunset-surfers-ocean-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-mick-schamburg-lookout-deck-sunset-surfers-ocean-burleigh-gold-coast-motel.webp,images/local/burleigh/couple-mick-schamburg-lookout-deck-sunset-surfers-ocean-burleigh-gold-coast-motel.webp,1200,78822,78822,0,0.00,kept_original,
/images/couple-mick-schamburg-lookout-sunset-burleigh-heads-headland-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-mick-schamburg-lookout-sunset-burleigh-heads-headland-gold-coast-motel.webp,images/local/burleigh/couple-mick-schamburg-lookout-sunset-burleigh-heads-headland-burleigh-gold-coast-motel.webp,1200,48022,48022,0,0.00,kept_original,
/images/couple-outdoor-dining-waterfront-gold-coast-nearby-burleigh-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-outdoor-dining-waterfront-gold-coast-nearby-burleigh-motel.webp,images/local/burleigh/couple-outdoor-dining-waterfront-gold-coast-nearby-burleigh-gold-coast-motel.webp,1200,77940,77940,0,0.00,kept_original,
/images/couple-picnic-grass-waterfront-gold-coast-skyline-nearby-burleigh-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-picnic-grass-waterfront-gold-coast-skyline-nearby-burleigh-motel.webp,images/local/burleigh/couple-picnic-grass-waterfront-gold-coast-skyline-nearby-burleigh-gold-coast-motel.webp,1200,59286,59286,0,0.00,kept_original,
/images/couple-walking-burleigh-heads-national-park-cliff-path-ocean-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\couple-walking-burleigh-heads-national-park-cliff-path-ocean-gold-coast-motel.webp,images/local/burleigh/couple-walking-burleigh-heads-national-park-cliff-path-ocean-burleigh-gold-coast-motel.webp,1200,181188,181188,0,0.00,kept_original,
/images/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-280w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,280,3646,4164,-518,-14.21,kept_original,
/images/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-340w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,340,4914,5548,-634,-12.90,kept_original,
/images/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-420w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,420,6998,7702,-704,-10.06,kept_original,
/images/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel-680w.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,680,14830,17028,-2198,-14.82,kept_original,
/images/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,images/motel/rooms/double/double-queen-room-ceiling-fan-air-con-burleigh-gold-coast-motel.webp,1400,52700,52700,0,0.00,kept_original,
/images/double-queen-room-ensuite-microwave-bar-fridge-burleigh-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\double-queen-room-ensuite-microwave-bar-fridge-burleigh-motel.webp,images/motel/rooms/double/double-queen-room-ensuite-microwave-bar-fridge-burleigh-motel.webp,1400,35200,35200,0,0.00,kept_original,
/images/family-picnic-bench-beach-surf-lifesaving-flags-nearby-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-picnic-bench-beach-surf-lifesaving-flags-nearby-burleigh-gold-coast-motel.webp,images/local/burleigh/family-picnic-bench-beach-surf-lifesaving-flags-nearby-burleigh-gold-coast-motel.webp,1200,84986,84986,0,0.00,kept_original,
/images/family-room-queen-three-singles-burleigh-gold-coast-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-room-queen-three-singles-burleigh-gold-coast-motel-280w.webp,images/motel/rooms/family/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,280,3900,4302,-402,-10.31,kept_original,
/images/family-room-queen-three-singles-burleigh-gold-coast-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-room-queen-three-singles-burleigh-gold-coast-motel-340w.webp,images/motel/rooms/family/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,340,5096,5690,-594,-11.66,kept_original,
/images/family-room-queen-three-singles-burleigh-gold-coast-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-room-queen-three-singles-burleigh-gold-coast-motel-420w.webp,images/motel/rooms/family/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,420,6920,7592,-672,-9.71,kept_original,
/images/family-room-queen-three-singles-burleigh-gold-coast-motel-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-room-queen-three-singles-burleigh-gold-coast-motel-680w.webp,images/motel/rooms/family/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,680,13728,15268,-1540,-11.22,kept_original,
/images/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\family-room-queen-three-singles-burleigh-gold-coast-motel.webp,images/motel/rooms/family/family-room-queen-three-singles-burleigh-gold-coast-motel.webp,1400,42794,42794,0,0.00,kept_original,
/images/ground-floor-triple-no-stairs-queen-single-burleigh-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-no-stairs-queen-single-burleigh-motel.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-no-stairs-queen-single-burleigh-motel.webp,1200,59204,59204,0,0.00,kept_original,
/images/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-280w.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,280,3220,3562,-342,-10.62,kept_original,
/images/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-340w.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,340,4418,4820,-402,-9.10,kept_original,
/images/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-420w.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,420,6356,6984,-628,-9.88,kept_original,
/images/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel-680w.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,680,14792,16716,-1924,-13.01,kept_original,
/images/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,images/motel/rooms/triple-ground-floor/ground-floor-triple-room-tv-microwave-burleigh-gold-coast-motel.webp,1400,56802,56802,0,0.00,kept_original,
/images/interconnecting-room-six-guests-v2-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-room-six-guests-v2-burleigh-gold-coast-motel.webp,images/motel/rooms/interconnecting/interconnecting-room-six-guests-v2-burleigh-gold-coast-motel.webp,1400,52062,52062,0,0.00,kept_original,
/images/interconnecting-rooms-dining-area-tv-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-dining-area-tv-burleigh-gold-coast-motel.webp,images/motel/rooms/interconnecting/interconnecting-rooms-dining-area-tv-burleigh-gold-coast-motel.webp,1400,51028,51028,0,0.00,kept_original,
/images/interconnecting-rooms-queen-single-beds-burleigh-heads-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-queen-single-beds-burleigh-heads-motel-280w.webp,,280,3604,,,,no_source_raster,manifest lookup failed in images/
/images/interconnecting-rooms-queen-single-beds-burleigh-heads-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-queen-single-beds-burleigh-heads-motel-340w.webp,,340,4552,,,,no_source_raster,manifest lookup failed in images/
/images/interconnecting-rooms-queen-single-beds-burleigh-heads-motel-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-queen-single-beds-burleigh-heads-motel-420w.webp,,420,6464,,,,no_source_raster,manifest lookup failed in images/
/images/interconnecting-rooms-queen-single-beds-burleigh-heads-motel-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-queen-single-beds-burleigh-heads-motel-680w.webp,,680,13596,,,,no_source_raster,manifest lookup failed in images/
/images/interconnecting-rooms-queen-single-beds-burleigh-heads-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\interconnecting-rooms-queen-single-beds-burleigh-heads-motel.webp,,1400,45128,,,,no_source_raster,manifest lookup failed in images/
/images/john-laws-park-family-picnic-pandanus-burleigh-heads-nearby-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\john-laws-park-family-picnic-pandanus-burleigh-heads-nearby-gold-coast-motel.webp,images/local/burleigh/john-laws-park-family-picnic-pandanus-burleigh-heads-nearby-burleigh-gold-coast-motel.webp,1200,194508,194508,0,0.00,kept_original,
/images/kirra-beach-girl-surfer-wave-coolangatta-nearby-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\kirra-beach-girl-surfer-wave-coolangatta-nearby-burleigh-gold-coast-motel.webp,images/local/kirra/kirra-beach-girl-surfer-wave-coolangatta-nearby-burleigh-gold-coast-motel.webp,1200,45586,45586,0,0.00,kept_original,
/images/kirra-beach-point-break-aerial-coolangatta-nearby-burleigh-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\kirra-beach-point-break-aerial-coolangatta-nearby-burleigh-gold-coast-motel.webp,images/local/kirra/kirra-beach-point-break-aerial-coolangatta-nearby-burleigh-gold-coast-motel.webp,1200,30612,30612,0,0.00,kept_original,
/images/miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-1280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\miami-hill-lookout-sunset-gold-coast-burleigh-motel-accommodation-1280w.webp,images/local/miami-hill-lookout-sunset-gold-coast.jpg,1280,71268,83340,-12072,-16.94,kept_original,
